station_id,station_name,from_date,to_date,lat,lon,TMK_latest_date,TMK_latest_value,TNK_latest_date,TNK_latest_value,TXK_latest_date,TXK_latest_value,UPM_latest_date,UPM_latest_value
03155,Manderscheid-Sonnenhof,19611101,20250616,50.1015,6.8009,20250616,16.5,20250616,9.0,20250616,22.7,20250616,70.54
03158,Manschnow,19850101,20250616,52.5468,14.5453,20250612,15.7,20250612,5.3,20250612,23.3,20250612,55.58
03164,"Cölbe,",19460101,20250616,50.8492,8.7745,20250616,17.8,20250616,10.7,20250616,24.9,20250616,68.50
03166,Marienberg,19550801,20250616,50.6511,13.1469,20250616,13.3,20250616,9.2,20250616,17.2,20250616,82.54
03167,"Marienberg,",19621201,20250616,50.6621,7.9603,20250616,15.4,20250616,9.6,20250616,20.0,20250616,73.63
03181,Markt,20210801,20250616,49.4875,10.6277,20250616,17.3,20250616,9.1,20250616,22.9,20250616,65.92
03196,Marnitz,19020101,20250616,53.3221,11.9324,20250616,17.0,20250616,13.7,20250616,21.0,20250616,76.79
03204,Martinroda,19831101,20250616,50.7335,10.8815,20250616,16.6,20250616,10.0,20250616,21.3,20250616,66.83
03226,Aschersleben-Mehringen,20060801,20250616,51.7259,11.5109,20250616,17.5,20250616,11.4,20250616,23.0,20250616,70.58
03231,Meiningen,19790101,20250616,50.5611,10.3771,20250616,16.4,20250616,12.7,20250616,20.4,20250616,65.67
03234,Klipphausen-Garsebach,19560601,20250616,51.1294,13.4328,20250616,16.4,20250616,10.4,20250616,20.7,20250616,78.00
03244,Memmingen,19610101,20250616,47.9821,10.1384,20250616,15.3,20250616,11.1,20250616,20.3,20250616,81.58
03254,Meppen,19730101,20250616,52.7155,7.3176,20250616,17.2,,,,,20250616,73.83
03257,"Mergentheim,",19470101,20250616,49.4797,9.7832,20250616,18.3,20250616,11.7,20250616,23.9,20250616,67.79
03268,Meßstetten-Appental,20000601,20250616,48.1694,8.9433,20250616,13.1,20250616,6.8,20250616,18.4,20250616,79.67
03271,Metten,19410101,20250616,48.8548,12.9189,20250616,17.3,20250616,12.8,20250616,21.9,20250616,81.71
03278,Metzingen,20030101,20250616,48.5377,9.2734,20250616,17.8,20250616,12.2,20250616,23.4,20250616,70.79
03284,Michelstadt,19870101,20250616,49.6692,9.0085,20250616,18.2,20250616,12.3,20250616,24.3,20250616,69.42
03287,Michelstadt-Vielbrunn,19871001,20250616,49.7177,9.0997,20250616,16.8,20250616,12.9,20250616,21.5,20250616,72.75
03289,Schmieritz-Weltwitz,19721001,20250616,50.7281,11.7838,20250615,20.6,20250615,13.9,20250615,29.1,20250614,41.88
03307,Mittenwald-Buckelwiesen,19370101,20250616,47.4814,11.2649,20250616,13.2,20250616,11.2,20250616,15.9,20250616,85.13
03319,Röllbach,20060901,20250616,49.7644,9.2530,20250616,17.8,20250616,11.1,20250616,23.3,20250616,70.75
03321,Mönchengladbach-Hilderath,20080425,20250616,51.1313,6.3608,20250616,18.1,20250616,11.1,20250616,24.4,20250616,72.88
03348,Moringen-Lutterbeck,19900701,20250616,51.7209,9.8351,20250616,16.8,20250616,11.2,20250616,22.1,20250616,71.54
03362,Mühlacker,19980101,20250616,48.9721,8.8735,20250616,17.8,20250616,10.9,20250616,23.5,20250616,76.17
03366,Mühldorf,19530101,20250616,48.2790,12.5024,20250616,17.3,20250616,12.7,20250616,21.7,20250616,78.25
03376,Müncheberg,19370101,20250616,52.5176,14.1232,20250616,17.8,20250616,13.9,20250616,22.8,20250616,70.96
03379,München-Stadt,19540601,20250616,48.1632,11.5429,20250616,17.7,20250616,14.0,20250616,21.4,20250616,69.00
03402,Münsingen-Apfelstetten,19460101,20250616,48.3851,9.4837,20250616,14.2,20250616,9.8,20250616,19.6,20250616,82.96
03426,"Muskau,",19360518,20250616,51.5660,14.7008,20250616,16.9,20250616,9.9,20250616,21.1,20250616,78.29
03442,"Nauheim,",19470101,20250616,50.3574,8.7506,20250616,19.3,20250616,14.1,20250616,24.8,20250616,61.25
03484,Neuburg,19730101,20250616,48.7085,11.2147,20250616,18.2,,,,,20250616,67.54
03485,Neuburg/Kammel-Langenhaslach,19910601,20250616,48.3114,10.3773,20250616,16.6,20250616,12.7,20250616,22.0,20250616,79.13
03490,"Neuenahr,",19480101,20250616,50.5346,7.0853,20250616,18.6,20250616,11.8,20250616,24.3,20250616,65.92
03509,Stechlin-Menz,20041001,20250616,53.1020,13.0421,20250616,16.7,20250616,12.0,20250616,21.2,20250616,74.67
03513,Neuhaus,19530701,20250616,50.5003,11.1345,20250616,13.4,20250616,9.9,20250616,17.7,20250616,76.38
03527,Neukirchen-Hauptschwenda,19470101,20250616,50.8923,9.4050,20250616,15.7,20250616,12.0,20250616,20.8,20250616,71.04
03540,Neunkirchen-Seelscheid-Krawinkel,19920901,20250616,50.8446,7.3720,20250616,17.7,20250616,10.7,20250616,23.2,20250616,73.13
03545,Neunkirchen-Wellesweiler,19700101,20250616,49.3440,7.2297,20250616,17.8,20250616,11.7,20250616,24.9,20250616,75.21
03571,Neustadt,20080301,20250616,49.8174,11.8638,20250616,16.4,20250616,10.0,20250616,21.6,20250616,72.21
